cls,board
C_Group>NCCU30X>NCCU-AT,NCCU06_MAT
C_Group>NCCU30X>NCCU-AT,NCCU07_MAT
C_Group>NCCU30X>NCCU-AT,NCCU08_MAT
C_Group>NCCU30X>NCCU-AT,NCCU09_MAT
C_Group>NCCU30X>NCCU-AT,NCCU10_MAT
C_Group>NCCU30X>NCCU-AT,NCCU11_MAT
C_Group>NCCU30X>NCCU-AT,NCCU97_MAT
C_Group>NCCU30X>NCCU-AT,NCCU00_AT-A
C_Group>NCCU30X>NCCU-AT,NCCU00_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU01_AT-A
C_Group>NCCU30X>NCCU-AT,NCCU01_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU02_AT-A
C_Group>NCCU30X>NCCU-AT,NCCU02_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU03_AT-A
C_Group>NCCU30X>NCCU-AT,NCCU03_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU04_AT-A
C_Group>NCCU30X>NCCU-AT,NCCU04_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU05_AT-A
C_Group>NCCU30X>NCCU-AT,NCCU05_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU06_AT-A
C_Group>NCCU30X>NCCU-AT,NCCU06_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU07_AT-A
C_Group>NCCU30X>NCCU-AT,NCCU07_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU08_AT-A
C_Group>NCCU30X>NCCU-AT,NCCU08_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU09_AT-A
C_Group>NCCU30X>NCCU-AT,NCCU09_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU10_AT_A
C_Group>NCCU30X>NCCU-AT,NCCU10_AT_B
C_Group>NCCU30X>NCCU-AT,NCCU11_AT-A
C_Group>NCCU30X>NCCU-AT,NCCU11_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU12_AT_A
C_Group>NCCU30X>NCCU-AT,NCCU12_AT_B
C_Group>NCCU30X>NCCU-AT,NCCU96_AT-A
C_Group>NCCU30X>NCCU-AT,NCCU96_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU98_AT-A
C_Group>NCCU30X>NCCU-AT,NCCU98_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU99_AT-B
C_Group>NCCU30X>NCCU-AT,NCCU_AT
C_Group>NCCU30X>NCCU-IIP,NCCU05_IIP
C_Group>NCCU30X>NCCU-IIP,NCCU08-IIP
C_Group>NCCU30X>NCCU-IIP,NCCU09-IIP
C_Group>NCCU30X>NCCU-IIP,NCCU10-IIP
C_Group>NCCU30X>NCCU-STAT,NCCU03_STGRA
C_Group>NCCU30X>NCCU-STAT,NCCU04_STGRA
C_Group>NCCU30X>NCCU-STAT,NCCU05_STGRA
C_Group>NCCU30X>NCCU-STAT,NCCU06_STGAR
C_Group>NCCU30X>NCCU-STAT,NCCU07_STGRA
C_Group>NCCU30X>NCCU-STAT,NCCU08_STGRA
C_Group>NCCU30X>NCCU-STAT,NCCU09_STGRA
C_Group>NCCU30X>NCCU-STAT,NCCU10_STGRA
C_Group>NCCU30X>NCCU-STAT,NCCU11_STGRA
C_Group>NCCU30X>NCCU-STAT,NCCU00_Stat
C_Group>NCCU30X>NCCU-STAT,NCCU01_Stat
C_Group>NCCU30X>NCCU-STAT,NCCU02_Stat
C_Group>NCCU30X>NCCU-STAT,NCCU03_Stat
C_Group>NCCU30X>NCCU-STAT,NCCU04_Stat
C_Group>NCCU30X>NCCU-STAT,NCCU05_Stat
C_Group>NCCU30X>NCCU-STAT,NCCU06_Stat
C_Group>NCCU30X>NCCU-STAT,NCCU07_Stat
C_Group>NCCU30X>NCCU-STAT,NCCU08_Stat
